File Header:	
File Path:	Z:\Data\Zebrafish Misgeld Wehne 2013\01.24.14\fish5\trajectory2.txt
Date:	1/24/2014
Time:	3:19 PM
Orbit_Time_[ms]:	5
Orbit Radius [V]: 	0.0150
Tracking_Treshold_[Hz]:	   5000
Delay_Orbits: 	  1
Number of Particles:	1
Long_Range:	1
Long Range_Treshold_[V]:	0.5780
Data:	
|X Pos [V]|	|Y Pos [V]|	|Z Pos [V]|	|Step #|	|Calc Time [ms]|	|Int 1 [Hz]|	|Int 2 [Hz]|	|Camera Frame|	|Tracking Active|	|Long Range X|	|Long Range Y|
-0.23379	0.00000	0.01685	1.00000	1068.00000	75400.00000	114200.00000	0.00000	1.00000	0.00000	10.00000
-0.23547	0.00019	0.02979	2.00000	984.00000	74200.00000	102000.00000	0.00000	1.00000	0.00000	0.00000
-0.23714	0.00036	0.04126	3.00000	949.00000	77200.00000	102400.00000	0.00000	1.00000	0.00000	0.00000
-0.23903	0.00063	0.05542	4.00000	953.00000	74600.00000	106000.00000	0.00000	1.00000	0.00000	0.00000
-0.24100	0.00076	0.07471	5.00000	953.00000	66400.00000	107400.00000	0.00000	1.00000	0.00000	0.00000
-0.24261	0.00089	0.08789	6.00000	957.00000	77400.00000	107200.00000	0.00000	1.00000	0.00000	0.00000
-0.24443	0.00101	0.09766	7.00000	951.00000	77400.00000	98800.00000	0.00000	1.00000	0.00000	0.00000
-0.24623	0.00134	0.11841	8.00000	960.00000	63400.00000	106000.00000	0.00000	1.00000	0.00000	0.00000
-0.24821	0.00149	0.13379	9.00000	957.00000	73400.00000	107200.00000	0.00000	1.00000	0.00000	0.00000
-0.24994	0.00178	0.14844	10.00000	1000.00000	76200.00000	109400.00000	0.00000	1.00000	0.00000	0.00000
-0.25169	0.00190	0.16113	11.00000	940.00000	71000.00000	97400.00000	0.00000	1.00000	0.00000	0.00000
-0.25334	0.00227	0.17847	12.00000	954.00000	65600.00000	100600.00000	0.00000	1.00000	0.00000	0.00000
-0.25502	0.00235	0.19360	13.00000	956.00000	72400.00000	105600.00000	0.00000	1.00000	0.00000	0.00000
-0.25668	0.00263	0.21021	14.00000	933.00000	69800.00000	105600.00000	0.00000	1.00000	0.00000	0.00000
-0.25843	0.00277	0.22461	15.00000	958.00000	67400.00000	96600.00000	0.00000	1.00000	0.00000	0.00000
-0.26016	0.00309	0.24048	16.00000	956.00000	66400.00000	98400.00000	0.00000	1.00000	0.00000	0.00000
-0.25737	0.00599	0.25708	17.00000	947.00000	7000.00000	10600.00000	0.00000	1.00000	0.00000	0.00000
-0.26442	0.00888	0.27246	18.00000	1339.00000	5600.00000	8200.00000	0.00000	1.00000	0.00000	0.00000
-0.26417	0.00905	0.27246	19.00000	1849.00000	3400.00000	2800.00000	0.00000	0.00000	0.00000	0.00000
