File Header:	
File Path:	E:\2014.10.10 mitpagfp + mitotagrfp\Fish 1\Trajectory 1.txt
Date:	10.10.2014
Time:	15:37
Orbit_Time_[ms]:	5
Orbit Radius [V]: 	0.0150
Tracking_Treshold_[Hz]:	   5000
Delay_Orbits: 	  1
Number of Particles:	1
Long_Range:	1
Long Range_Treshold_[V]:	0.5780
Data:	
|X Pos [V]|	|Y Pos [V]|	|Z Pos [V]|	|Step #|	|Calc Time [ms]|	|Int 1 [Hz]|	|Int 2 [Hz]|	|Camera Frame|	|Tracking Active|	|Long Range X|	|Long Range Y|
-0.13135	0.12769	0.01221	1.00000	1074.00000	13000.00000	23800.00000	1.00000	1.00000	0.00000	0.00000
-0.13110	0.12869	0.02344	2.00000	884.00000	12800.00000	22400.00000	1.00000	1.00000	0.00000	0.00000
-0.13088	0.12915	0.02942	3.00000	934.00000	15000.00000	20200.00000	1.00000	1.00000	0.00000	0.00000
-0.13069	0.12926	0.03894	4.00000	875.00000	12200.00000	19600.00000	1.00000	1.00000	0.00000	0.00000
-0.13000	0.12951	0.04211	5.00000	869.00000	14400.00000	16800.00000	1.00000	1.00000	0.00000	0.00000
-0.12963	0.12996	0.05188	6.00000	892.00000	13800.00000	22400.00000	1.00000	1.00000	0.00000	0.00000
-0.12950	0.13014	0.06616	7.00000	860.00000	11200.00000	22800.00000	1.00000	1.00000	0.00000	0.00000
-0.12905	0.13063	0.07263	8.00000	846.00000	12800.00000	17600.00000	1.00000	1.00000	0.00000	0.00000
-0.12879	0.13049	0.07617	9.00000	847.00000	15800.00000	18800.00000	1.00000	1.00000	0.00000	0.00000
-0.12866	0.13066	0.08252	10.00000	851.00000	14000.00000	19200.00000	1.00000	1.00000	0.00000	0.00000
-0.12824	0.13107	0.09094	11.00000	852.00000	13400.00000	20400.00000	1.00000	1.00000	0.00000	0.00000
-0.12775	0.13123	0.09570	12.00000	971.00000	14400.00000	18200.00000	1.00000	1.00000	0.00000	0.00000
-0.12778	0.13174	0.10925	13.00000	849.00000	10200.00000	20000.00000	1.00000	1.00000	0.00000	0.00000
-0.12800	0.13203	0.11731	14.00000	868.00000	12600.00000	18800.00000	1.00000	1.00000	0.00000	0.00000
-0.12743	0.13296	0.12952	15.00000	979.00000	10800.00000	19800.00000	1.00000	1.00000	0.00000	0.00000
-0.12703	0.13349	0.13379	16.00000	863.00000	16200.00000	20000.00000	1.00000	1.00000	0.00000	0.00000
-0.12781	0.13369	0.13892	17.00000	859.00000	18800.00000	24200.00000	1.00000	1.00000	0.00000	0.00000
-0.13057	0.13407	0.14050	18.00000	5881.00000	30800.00000	33200.00000	1.00000	1.00000	0.00000	0.00000
-0.13387	0.13415	0.14453	19.00000	5735.00000	37000.00000	45000.00000	1.00000	1.00000	0.00000	0.00000
-0.13754	0.13418	0.14417	20.00000	5691.00000	59200.00000	57800.00000	1.00000	1.00000	0.00000	0.00000
-0.14032	0.13423	0.14465	21.00000	5697.00000	69000.00000	70600.00000	1.00000	1.00000	0.00000	0.00000
-0.14317	0.13451	0.14490	22.00000	5690.00000	80800.00000	81600.00000	1.00000	1.00000	0.00000	0.00000
-0.14527	0.13481	0.14514	23.00000	5696.00000	79600.00000	80200.00000	1.00000	1.00000	0.00000	0.00000
-0.14692	0.13517	0.14893	24.00000	5687.00000	80600.00000	96800.00000	1.00000	1.00000	0.00000	0.00000
-0.14802	0.13526	0.15039	25.00000	5670.00000	82800.00000	88600.00000	1.00000	1.00000	0.00000	0.00000
-0.14889	0.13534	0.14893	26.00000	5691.00000	96000.00000	89000.00000	1.00000	1.00000	0.00000	0.00000
-0.14951	0.13557	0.15088	27.00000	5697.00000	79800.00000	87800.00000	1.00000	1.00000	0.00000	0.00000
-0.14993	0.13598	0.15051	28.00000	5706.00000	85400.00000	83600.00000	1.00000	1.00000	0.00000	0.00000
-0.15047	0.13622	0.15063	29.00000	5706.00000	94400.00000	94800.00000	1.00000	1.00000	0.00000	0.00000
-0.15065	0.13654	0.15198	30.00000	5718.00000	81200.00000	86400.00000	1.00000	1.00000	0.00000	0.00000
-0.15080	0.13703	0.15198	31.00000	5717.00000	91600.00000	91400.00000	1.00000	1.00000	0.00000	0.00000
-0.15105	0.13730	0.15381	32.00000	5683.00000	87800.00000	96000.00000	1.00000	1.00000	0.00000	0.00000
-0.15120	0.13763	0.15405	33.00000	5674.00000	97600.00000	98200.00000	1.00000	1.00000	0.00000	0.00000
-0.15132	0.13782	0.15479	34.00000	5709.00000	94000.00000	97000.00000	1.00000	1.00000	0.00000	0.00000
-0.15131	0.13819	0.15588	35.00000	5680.00000	86800.00000	91400.00000	1.00000	1.00000	0.00000	0.00000
-0.15149	0.13832	0.15393	36.00000	5692.00000	96000.00000	86800.00000	1.00000	1.00000	0.00000	0.00000
-0.15150	0.13861	0.15186	37.00000	5565.00000	96400.00000	86800.00000	1.00000	1.00000	0.00000	0.00000
-0.15157	0.13912	0.15125	38.00000	5681.00000	86000.00000	83200.00000	1.00000	1.00000	0.00000	0.00000
-0.15179	0.13950	0.14893	39.00000	5877.00000	94200.00000	83600.00000	1.00000	1.00000	0.00000	0.00000
-0.15172	0.13986	0.15015	40.00000	5849.00000	91000.00000	96200.00000	1.00000	1.00000	0.00000	0.00000
-0.15163	0.14014	0.14929	41.00000	5810.00000	89200.00000	85200.00000	1.00000	1.00000	0.00000	0.00000
-0.15171	0.14026	0.15112	42.00000	5823.00000	82000.00000	89800.00000	1.00000	1.00000	0.00000	0.00000
-0.15177	0.14055	0.15149	43.00000	5829.00000	93200.00000	94400.00000	1.00000	1.00000	0.00000	0.00000
-0.15174	0.14077	0.14954	44.00000	5824.00000	97600.00000	88400.00000	1.00000	1.00000	0.00000	0.00000
-0.15176	0.14113	0.15149	45.00000	5837.00000	85600.00000	94000.00000	1.00000	1.00000	0.00000	0.00000
-0.15180	0.14142	0.15356	46.00000	5815.00000	81600.00000	90000.00000	1.00000	1.00000	0.00000	0.00000
-0.15189	0.14162	0.15625	47.00000	5828.00000	83000.00000	94800.00000	1.00000	1.00000	0.00000	0.00000
-0.15195	0.14149	0.15625	48.00000	5833.00000	91800.00000	91400.00000	1.00000	1.00000	0.00000	0.00000
-0.15215	0.14157	0.15698	49.00000	5829.00000	88000.00000	91000.00000	1.00000	1.00000	0.00000	0.00000
-0.15233	0.14189	0.15381	50.00000	5818.00000	96400.00000	82000.00000	2.00000	1.00000	0.00000	0.00000
-0.15239	0.14175	0.15234	51.00000	5816.00000	91400.00000	84600.00000	2.00000	1.00000	0.00000	0.00000
-0.15261	0.14195	0.15149	52.00000	5821.00000	86000.00000	82200.00000	2.00000	1.00000	0.00000	0.00000
-0.15277	0.14180	0.15051	53.00000	5847.00000	86000.00000	81800.00000	2.00000	1.00000	0.00000	0.00000
-0.15271	0.14216	0.15051	54.00000	5921.00000	85400.00000	85000.00000	2.00000	1.00000	0.00000	0.00000
