File Header:	
File Path:	Z:\Data\Zebrafish Misgeld Wehne 2013\04.14.14 mitoPAGFP + mitoTAGRFP\Trajectory3-Anterograde.txt
Date:	4/15/2014
Time:	2:03 PM
Orbit_Time_[ms]:	5
Orbit Radius [V]: 	0.0150
Tracking_Treshold_[Hz]:	   5000
Delay_Orbits: 	  1
Number of Particles:	1
Long_Range:	1
Long Range_Treshold_[V]:	0.5882
Data:	
|X Pos [V]|	|Y Pos [V]|	|Z Pos [V]|	|Step #|	|Calc Time [ms]|	|Int 1 [Hz]|	|Int 2 [Hz]|	|Camera Frame|	|Tracking Active|	|Long Range X|	|Long Range Y|
-0.03416	-0.52083	-0.01416	1.00000	978.00000	116800.00000	57200.00000	2.00000	1.00000	0.00000	0.00000
-0.03889	-0.51832	-0.02930	2.00000	2358.00000	95200.00000	44600.00000	2.00000	1.00000	0.00000	0.00000
-0.04170	-0.51607	-0.03931	3.00000	5724.00000	202000.00000	122000.00000	2.00000	1.00000	0.00000	0.00000
-0.04393	-0.51374	-0.04492	4.00000	5768.00000	181600.00000	136400.00000	2.00000	1.00000	0.00000	0.00000
-0.04563	-0.51213	-0.04749	5.00000	5773.00000	175400.00000	154200.00000	2.00000	1.00000	0.00000	0.00000
-0.04675	-0.51077	-0.05103	6.00000	5753.00000	172200.00000	143800.00000	2.00000	1.00000	0.00000	0.00000
-0.04747	-0.50984	-0.05249	7.00000	5737.00000	168000.00000	155600.00000	2.00000	1.00000	0.00000	0.00000
-0.04810	-0.50904	-0.05200	8.00000	5752.00000	143000.00000	145800.00000	2.00000	1.00000	0.00000	0.00000
-0.04845	-0.50807	-0.05200	9.00000	5754.00000	146600.00000	146400.00000	2.00000	1.00000	0.00000	0.00000
-0.04879	-0.50726	-0.05054	10.00000	5725.00000	136000.00000	146200.00000	2.00000	1.00000	0.00000	0.00000
-0.04879	-0.50682	-0.04968	11.00000	5753.00000	142000.00000	147800.00000	2.00000	1.00000	0.00000	0.00000
-0.04872	-0.50654	-0.04797	12.00000	5733.00000	147400.00000	159600.00000	2.00000	1.00000	0.00000	0.00000
-0.04847	-0.50609	-0.04834	13.00000	5757.00000	141600.00000	138800.00000	2.00000	1.00000	0.00000	0.00000
-0.04834	-0.50574	-0.04895	14.00000	5771.00000	144400.00000	139800.00000	2.00000	1.00000	0.00000	0.00000
-0.04805	-0.50532	-0.04761	15.00000	5752.00000	137400.00000	146600.00000	2.00000	1.00000	0.00000	0.00000
-0.04781	-0.50505	-0.04639	16.00000	5740.00000	132800.00000	140600.00000	2.00000	1.00000	0.00000	0.00000
-0.04781	-0.50483	-0.04382	17.00000	5737.00000	133200.00000	151200.00000	2.00000	1.00000	0.00000	0.00000
-0.04782	-0.50454	-0.04272	18.00000	5766.00000	135200.00000	142000.00000	2.00000	1.00000	0.00000	0.00000
-0.04751	-0.50395	-0.04260	19.00000	5885.00000	143000.00000	143800.00000	2.00000	1.00000	0.00000	0.00000
-0.04743	-0.50383	-0.04370	20.00000	5987.00000	143800.00000	136000.00000	2.00000	1.00000	0.00000	0.00000
-0.04721	-0.50364	-0.04358	21.00000	6082.00000	147600.00000	148400.00000	2.00000	1.00000	0.00000	0.00000
-0.04726	-0.50369	-0.04346	22.00000	5764.00000	138600.00000	138800.00000	2.00000	1.00000	0.00000	0.00000
-0.04738	-0.50377	-0.04248	23.00000	5830.00000	134600.00000	140600.00000	2.00000	1.00000	0.00000	0.00000
-0.04740	-0.50384	-0.04248	24.00000	5823.00000	139200.00000	138800.00000	2.00000	1.00000	0.00000	0.00000
-0.04730	-0.50357	-0.04370	25.00000	5745.00000	147200.00000	138200.00000	2.00000	1.00000	0.00000	0.00000
-0.04732	-0.50342	-0.04443	26.00000	5740.00000	142000.00000	136600.00000	2.00000	1.00000	0.00000	0.00000
-0.04745	-0.50335	-0.04480	27.00000	5767.00000	136600.00000	133800.00000	2.00000	1.00000	0.00000	0.00000
-0.04749	-0.50330	-0.04456	28.00000	5779.00000	140800.00000	142400.00000	2.00000	1.00000	0.00000	0.00000
-0.04741	-0.50317	-0.04382	29.00000	5753.00000	142200.00000	146800.00000	2.00000	1.00000	0.00000	0.00000
-0.04767	-0.50330	-0.04187	30.00000	5750.00000	137200.00000	151000.00000	2.00000	1.00000	0.00000	0.00000
-0.04755	-0.50312	-0.04236	31.00000	5782.00000	151000.00000	147000.00000	3.00000	1.00000	0.00000	0.00000
-0.04775	-0.50305	-0.03979	32.00000	5749.00000	131800.00000	149200.00000	3.00000	1.00000	0.00000	0.00000
-0.04768	-0.50292	-0.03870	33.00000	5761.00000	131000.00000	137800.00000	3.00000	1.00000	0.00000	0.00000
-0.04789	-0.50300	-0.03918	34.00000	5742.00000	145400.00000	141200.00000	3.00000	1.00000	0.00000	0.00000
-0.04790	-0.50285	-0.04016	35.00000	5742.00000	139200.00000	131800.00000	3.00000	1.00000	0.00000	0.00000
-0.04786	-0.50299	-0.04102	36.00000	5754.00000	140600.00000	134000.00000	3.00000	1.00000	0.00000	0.00000
-0.04796	-0.50289	-0.04285	37.00000	5761.00000	139000.00000	126600.00000	3.00000	1.00000	0.00000	0.00000
-0.04791	-0.50284	-0.04285	38.00000	5766.00000	127800.00000	127800.00000	3.00000	1.00000	0.00000	0.00000
-0.04800	-0.50257	-0.04370	39.00000	5752.00000	138800.00000	132800.00000	3.00000	1.00000	0.00000	0.00000
-0.04808	-0.50228	-0.04224	40.00000	5748.00000	129400.00000	139000.00000	3.00000	1.00000	0.00000	0.00000
-0.04816	-0.50208	-0.04260	41.00000	5753.00000	148000.00000	145000.00000	3.00000	1.00000	0.00000	0.00000
-0.04811	-0.50202	-0.04321	42.00000	5749.00000	146200.00000	141200.00000	3.00000	1.00000	0.00000	0.00000
-0.04809	-0.50180	-0.04431	43.00000	5745.00000	135000.00000	127600.00000	3.00000	1.00000	0.00000	0.00000
-0.04820	-0.50161	-0.04211	44.00000	5696.00000	125000.00000	139200.00000	3.00000	1.00000	0.00000	0.00000
-0.04802	-0.50184	-0.04346	45.00000	5748.00000	136000.00000	127000.00000	3.00000	1.00000	0.00000	0.00000
-0.04831	-0.50179	-0.04236	46.00000	5785.00000	126600.00000	133200.00000	3.00000	1.00000	0.00000	0.00000
-0.04824	-0.50176	-0.04175	47.00000	5726.00000	136800.00000	140800.00000	3.00000	1.00000	0.00000	0.00000
-0.04841	-0.50162	-0.04175	48.00000	5743.00000	133400.00000	132800.00000	3.00000	1.00000	0.00000	0.00000
-0.04834	-0.50149	-0.04358	49.00000	5728.00000	142400.00000	129200.00000	3.00000	1.00000	0.00000	0.00000
-0.04827	-0.50148	-0.04395	50.00000	5727.00000	142400.00000	139200.00000	3.00000	1.00000	0.00000	0.00000
-0.04850	-0.50130	-0.04321	51.00000	5769.00000	131400.00000	135800.00000	3.00000	1.00000	0.00000	0.00000
-0.04838	-0.50104	-0.04480	52.00000	5752.00000	139800.00000	129000.00000	3.00000	1.00000	0.00000	0.00000
-0.04831	-0.50102	-0.04248	53.00000	5731.00000	128000.00000	143200.00000	3.00000	1.00000	0.00000	0.00000
-0.04820	-0.50083	-0.04187	54.00000	5744.00000	131200.00000	134800.00000	3.00000	1.00000	0.00000	0.00000
-0.04797	-0.50065	-0.04211	55.00000	5757.00000	126800.00000	124600.00000	3.00000	1.00000	0.00000	0.00000
-0.04776	-0.50062	-0.04224	56.00000	5772.00000	133800.00000	132800.00000	3.00000	1.00000	0.00000	0.00000
-0.04754	-0.50057	-0.04321	57.00000	5737.00000	130400.00000	124000.00000	3.00000	1.00000	0.00000	0.00000
-0.04737	-0.50033	-0.04529	58.00000	5746.00000	146600.00000	131800.00000	3.00000	1.00000	0.00000	0.00000
-0.04731	-0.49989	-0.04724	59.00000	5744.00000	141200.00000	127600.00000	3.00000	1.00000	0.00000	0.00000
-0.04708	-0.49952	-0.04797	60.00000	5768.00000	131200.00000	126200.00000	3.00000	1.00000	0.00000	0.00000
-0.04714	-0.49930	-0.04687	61.00000	5752.00000	127800.00000	134400.00000	4.00000	1.00000	0.00000	0.00000
-0.04699	-0.49927	-0.04626	62.00000	5769.00000	128200.00000	131600.00000	4.00000	1.00000	0.00000	0.00000
