File Header:	
File Path:	C:\Documents and Settings\Orbit\Desktop\04.9.14 MitoTag + TagRFP\B6Fish2\trajectory1.txt
Date:	4/10/2014
Time:	7:29 PM
Orbit_Time_[ms]:	5
Orbit Radius [V]: 	0.0150
Tracking_Treshold_[Hz]:	   5000
Delay_Orbits: 	  1
Number of Particles:	1
Long_Range:	1
Long Range_Treshold_[V]:	0.5882
Data:	
|X Pos [V]|	|Y Pos [V]|	|Z Pos [V]|	|Step #|	|Calc Time [ms]|	|Int 1 [Hz]|	|Int 2 [Hz]|	|Camera Frame|	|Tracking Active|	|Long Range X|	|Long Range Y|
-0.03143	-0.39311	-0.01038	1.00000	941.00000	17200.00000	10200.00000	1.00000	1.00000	0.00000	0.00000
-0.03286	-0.39283	-0.02441	2.00000	950.00000	20600.00000	10200.00000	1.00000	1.00000	0.00000	0.00000
-0.03467	-0.39315	-0.03467	3.00000	915.00000	16400.00000	9800.00000	1.00000	1.00000	0.00000	0.00000
-0.03650	-0.39307	-0.04456	4.00000	946.00000	17800.00000	10800.00000	1.00000	1.00000	0.00000	0.00000
-0.03848	-0.39303	-0.06018	5.00000	1007.00000	20200.00000	9200.00000	1.00000	1.00000	0.00000	0.00000
-0.04046	-0.39303	-0.06995	6.00000	936.00000	17000.00000	10400.00000	1.00000	1.00000	0.00000	0.00000
-0.04221	-0.39357	-0.08508	7.00000	923.00000	18800.00000	8800.00000	1.00000	1.00000	0.00000	0.00000
-0.04398	-0.39307	-0.10193	8.00000	941.00000	21000.00000	9000.00000	1.00000	1.00000	0.00000	0.00000
-0.04580	-0.39286	-0.10938	9.00000	1090.00000	17200.00000	11800.00000	1.00000	1.00000	0.00000	0.00000
-0.04822	-0.39287	-0.12427	10.00000	936.00000	19000.00000	9000.00000	1.00000	1.00000	0.00000	0.00000
-0.05019	-0.39286	-0.14124	11.00000	930.00000	18800.00000	8000.00000	1.00000	1.00000	0.00000	0.00000
-0.05180	-0.39272	-0.15393	12.00000	960.00000	17000.00000	9000.00000	1.00000	1.00000	0.00000	0.00000
-0.05288	-0.39293	-0.16260	13.00000	971.00000	15800.00000	10200.00000	1.00000	1.00000	0.00000	0.00000
-0.05431	-0.39326	-0.17029	14.00000	926.00000	15600.00000	10600.00000	1.00000	1.00000	0.00000	0.00000
-0.05614	-0.39324	-0.17761	15.00000	925.00000	15000.00000	10400.00000	1.00000	1.00000	0.00000	0.00000
-0.05775	-0.39373	-0.18958	16.00000	915.00000	14600.00000	8000.00000	1.00000	1.00000	0.00000	0.00000
-0.05944	-0.39376	-0.20313	17.00000	1228.00000	14200.00000	7200.00000	1.00000	1.00000	0.00000	0.00000
-0.06156	-0.39388	-0.21814	18.00000	961.00000	46000.00000	21600.00000	1.00000	1.00000	0.00000	0.00000
-0.06322	-0.39421	-0.21008	19.00000	2947.00000	48800.00000	72800.00000	1.00000	1.00000	0.00000	0.00000
-0.06453	-0.39412	-0.19580	20.00000	5733.00000	27400.00000	55800.00000	1.00000	1.00000	0.00000	0.00000
-0.06527	-0.39410	-0.17981	21.00000	5762.00000	23400.00000	51800.00000	1.00000	1.00000	0.00000	0.00000
-0.06607	-0.39410	-0.16589	22.00000	5777.00000	24000.00000	48000.00000	1.00000	1.00000	0.00000	0.00000
-0.06702	-0.39401	-0.15295	23.00000	5697.00000	33000.00000	63000.00000	1.00000	1.00000	0.00000	0.00000
-0.06805	-0.39395	-0.13965	24.00000	5751.00000	34200.00000	66400.00000	1.00000	1.00000	0.00000	0.00000
-0.06914	-0.39388	-0.12537	25.00000	5770.00000	38400.00000	78200.00000	1.00000	1.00000	0.00000	0.00000
-0.07008	-0.39407	-0.11304	26.00000	5778.00000	41200.00000	76200.00000	1.00000	1.00000	0.00000	0.00000
-0.07081	-0.39405	-0.10205	27.00000	5784.00000	45000.00000	77800.00000	2.00000	1.00000	0.00000	0.00000
-0.07131	-0.39393	-0.09448	28.00000	5739.00000	60000.00000	87400.00000	2.00000	1.00000	0.00000	0.00000
-0.07151	-0.39383	-0.08777	29.00000	5729.00000	69400.00000	96600.00000	2.00000	1.00000	0.00000	0.00000
-0.07151	-0.39361	-0.08289	30.00000	5743.00000	73400.00000	93200.00000	2.00000	1.00000	0.00000	0.00000
-0.07144	-0.39360	-0.07739	31.00000	5761.00000	71000.00000	93400.00000	2.00000	1.00000	0.00000	0.00000
-0.07150	-0.39339	-0.07178	32.00000	5747.00000	77000.00000	101600.00000	2.00000	1.00000	0.00000	0.00000
-0.07137	-0.39305	-0.06848	33.00000	5726.00000	75000.00000	88400.00000	2.00000	1.00000	0.00000	0.00000
-0.07126	-0.39294	-0.06616	34.00000	5738.00000	76800.00000	86200.00000	2.00000	1.00000	0.00000	0.00000
-0.07105	-0.39298	-0.06396	35.00000	5774.00000	79600.00000	88600.00000	2.00000	1.00000	0.00000	0.00000
-0.07101	-0.39305	-0.06470	36.00000	5752.00000	88800.00000	85400.00000	2.00000	1.00000	0.00000	0.00000
-0.07087	-0.39309	-0.06055	37.00000	5767.00000	81400.00000	99600.00000	2.00000	1.00000	0.00000	0.00000
-0.07065	-0.39312	-0.05908	38.00000	5729.00000	80000.00000	85800.00000	2.00000	1.00000	0.00000	0.00000
-0.07051	-0.39316	-0.05798	39.00000	5883.00000	80600.00000	84800.00000	2.00000	1.00000	0.00000	0.00000
-0.07035	-0.39275	-0.05737	40.00000	5961.00000	86400.00000	88800.00000	2.00000	1.00000	0.00000	0.00000
-0.07028	-0.39288	-0.05530	41.00000	6009.00000	81400.00000	90000.00000	2.00000	1.00000	0.00000	0.00000
-0.07013	-0.39272	-0.05554	42.00000	6112.00000	86000.00000	84800.00000	2.00000	1.00000	0.00000	0.00000
-0.07002	-0.39281	-0.05457	43.00000	5754.00000	80200.00000	84000.00000	2.00000	1.00000	0.00000	0.00000
-0.06987	-0.39297	-0.05310	44.00000	5811.00000	82200.00000	88000.00000	2.00000	1.00000	0.00000	0.00000
-0.06991	-0.39303	-0.05396	45.00000	5753.00000	78600.00000	75200.00000	2.00000	1.00000	0.00000	0.00000
-0.06989	-0.39310	-0.05518	46.00000	5781.00000	81800.00000	76800.00000	2.00000	1.00000	0.00000	0.00000
-0.06992	-0.39317	-0.05383	47.00000	5730.00000	81200.00000	86600.00000	2.00000	1.00000	0.00000	0.00000
-0.06970	-0.39315	-0.05347	48.00000	5757.00000	79200.00000	80200.00000	2.00000	1.00000	0.00000	0.00000
-0.06970	-0.39286	-0.05554	49.00000	5757.00000	83000.00000	74600.00000	2.00000	1.00000	0.00000	0.00000
-0.06991	-0.39293	-0.05542	50.00000	5760.00000	80400.00000	80600.00000	2.00000	1.00000	0.00000	0.00000
-0.06994	-0.39299	-0.05554	51.00000	5748.00000	81200.00000	80600.00000	2.00000	1.00000	0.00000	0.00000
-0.07007	-0.39292	-0.05615	52.00000	5765.00000	81000.00000	78200.00000	2.00000	1.00000	0.00000	0.00000
-0.07028	-0.39272	-0.05823	53.00000	5763.00000	85000.00000	76600.00000	2.00000	1.00000	0.00000	0.00000
-0.07025	-0.39265	-0.05725	54.00000	5775.00000	83400.00000	87200.00000	2.00000	1.00000	0.00000	0.00000
-0.07053	-0.39271	-0.05579	55.00000	5748.00000	80600.00000	86600.00000	2.00000	1.00000	0.00000	0.00000
-0.07072	-0.39294	-0.05823	56.00000	5753.00000	83400.00000	73800.00000	3.00000	1.00000	0.00000	0.00000
-0.07078	-0.39315	-0.05872	57.00000	5768.00000	84400.00000	82200.00000	3.00000	1.00000	0.00000	0.00000
-0.07089	-0.39335	-0.05884	58.00000	5765.00000	78600.00000	77800.00000	3.00000	1.00000	0.00000	0.00000
-0.07108	-0.39346	-0.05676	59.00000	5759.00000	78600.00000	87000.00000	3.00000	1.00000	0.00000	0.00000
-0.07127	-0.39336	-0.05542	60.00000	5758.00000	81200.00000	86400.00000	3.00000	1.00000	0.00000	0.00000
-0.07135	-0.39349	-0.05554	61.00000	5745.00000	82600.00000	82000.00000	3.00000	1.00000	0.00000	0.00000
-0.07160	-0.39364	-0.05750	62.00000	5775.00000	92000.00000	83400.00000	3.00000	1.00000	0.00000	0.00000
-0.07166	-0.39368	-0.05798	63.00000	5763.00000	80800.00000	78400.00000	3.00000	1.00000	0.00000	0.00000
-0.07176	-0.39357	-0.05774	64.00000	5766.00000	80400.00000	81200.00000	3.00000	1.00000	0.00000	0.00000
-0.07178	-0.39351	-0.05579	65.00000	5751.00000	75800.00000	83400.00000	3.00000	1.00000	0.00000	0.00000
-0.07193	-0.39350	-0.05457	66.00000	5772.00000	75000.00000	79600.00000	3.00000	1.00000	0.00000	0.00000
-0.07189	-0.39336	-0.05457	67.00000	5762.00000	81400.00000	81400.00000	3.00000	1.00000	0.00000	0.00000
-0.07191	-0.39343	-0.05286	68.00000	5654.00000	77400.00000	84200.00000	3.00000	1.00000	0.00000	0.00000
-0.07187	-0.39329	-0.05151	69.00000	5755.00000	75800.00000	80800.00000	3.00000	1.00000	0.00000	0.00000
-0.07160	-0.39316	-0.05371	70.00000	5717.00000	83800.00000	74800.00000	3.00000	1.00000	0.00000	0.00000
-0.07148	-0.39324	-0.05420	71.00000	5757.00000	74200.00000	72200.00000	3.00000	1.00000	0.00000	0.00000
-0.07126	-0.39328	-0.05383	72.00000	5774.00000	74800.00000	75800.00000	3.00000	1.00000	0.00000	0.00000
-0.07104	-0.39326	-0.05786	73.00000	5754.00000	88600.00000	72400.00000	3.00000	1.00000	0.00000	0.00000
-0.07083	-0.39288	-0.05884	74.00000	5764.00000	85400.00000	81000.00000	3.00000	1.00000	0.00000	0.00000
-0.07063	-0.39267	-0.05798	75.00000	5739.00000	72600.00000	75400.00000	3.00000	1.00000	0.00000	0.00000
-0.07023	-0.39286	-0.05664	76.00000	5759.00000	71200.00000	76000.00000	3.00000	1.00000	0.00000	0.00000
-0.07013	-0.39276	-0.05615	77.00000	5779.00000	75800.00000	77400.00000	3.00000	1.00000	0.00000	0.00000
-0.07008	-0.39270	-0.05554	78.00000	5744.00000	73800.00000	75800.00000	3.00000	1.00000	0.00000	0.00000
-0.07009	-0.39263	-0.05664	79.00000	5731.00000	76200.00000	71800.00000	3.00000	1.00000	0.00000	0.00000
-0.07002	-0.39259	-0.05701	80.00000	5777.00000	75800.00000	74400.00000	3.00000	1.00000	0.00000	0.00000
-0.06983	-0.39270	-0.05737	81.00000	5765.00000	77200.00000	75600.00000	3.00000	1.00000	0.00000	0.00000
-0.06972	-0.39280	-0.05872	82.00000	5767.00000	76600.00000	71200.00000	3.00000	1.00000	0.00000	0.00000
-0.06987	-0.39282	-0.05896	83.00000	5742.00000	85000.00000	83800.00000	3.00000	1.00000	0.00000	0.00000
-0.06978	-0.39246	-0.05774	84.00000	5738.00000	73600.00000	78200.00000	3.00000	1.00000	0.00000	0.00000
-0.06993	-0.39248	-0.05859	85.00000	5905.00000	82200.00000	78600.00000	3.00000	1.00000	0.00000	0.00000
-0.06992	-0.39255	-0.06055	86.00000	5998.00000	85600.00000	77600.00000	4.00000	1.00000	0.00000	0.00000
-0.06985	-0.39284	-0.05981	87.00000	6059.00000	74000.00000	76600.00000	4.00000	1.00000	0.00000	0.00000
-0.06964	-0.39255	-0.05994	88.00000	6155.00000	79800.00000	79200.00000	4.00000	1.00000	0.00000	0.00000
-0.06989	-0.39240	-0.05945	89.00000	5769.00000	71600.00000	73200.00000	4.00000	1.00000	0.00000	0.00000
-0.06996	-0.39227	-0.05847	90.00000	5830.00000	72800.00000	76200.00000	4.00000	1.00000	0.00000	0.00000
-0.06998	-0.39241	-0.06165	91.00000	5773.00000	80800.00000	68600.00000	4.00000	1.00000	0.00000	0.00000
-0.06991	-0.39221	-0.06384	92.00000	5781.00000	78200.00000	69800.00000	4.00000	1.00000	0.00000	0.00000
-0.06995	-0.39234	-0.06555	93.00000	5743.00000	80800.00000	73800.00000	4.00000	1.00000	0.00000	0.00000
-0.07021	-0.39221	-0.06250	94.00000	5787.00000	72800.00000	84400.00000	4.00000	1.00000	0.00000	0.00000
-0.07050	-0.39219	-0.05969	95.00000	5774.00000	68000.00000	78000.00000	4.00000	1.00000	0.00000	0.00000
-0.07060	-0.39208	-0.05725	96.00000	5776.00000	73800.00000	83000.00000	4.00000	1.00000	0.00000	0.00000
-0.07068	-0.39229	-0.05811	97.00000	5752.00000	73400.00000	70000.00000	4.00000	1.00000	0.00000	0.00000
-0.07082	-0.39245	-0.05566	98.00000	5771.00000	70200.00000	79000.00000	4.00000	1.00000	0.00000	0.00000
-0.07094	-0.39227	-0.05603	99.00000	5772.00000	79000.00000	77200.00000	4.00000	1.00000	0.00000	0.00000
-0.07108	-0.39223	-0.05432	100.00000	5775.00000	72000.00000	78400.00000	4.00000	1.00000	0.00000	0.00000
-0.07116	-0.39211	-0.05505	101.00000	5771.00000	74400.00000	71600.00000	4.00000	1.00000	0.00000	0.00000
-0.07143	-0.39245	-0.05334	102.00000	5762.00000	67000.00000	72800.00000	4.00000	1.00000	0.00000	0.00000
-0.07157	-0.39250	-0.05713	103.00000	5785.00000	87000.00000	71600.00000	4.00000	1.00000	0.00000	0.00000
-0.07153	-0.39272	-0.05908	104.00000	5773.00000	82400.00000	74600.00000	4.00000	1.00000	0.00000	0.00000
