File Header:	
File Path:	Z:\Data\Zebrafish Misgeld Wehne 2013\03.21.14 mitoPAGFP + mitoTAGRFP\Fish 1\trajectory3.txt
Date:	3/21/2014
Time:	3:12 PM
Orbit_Time_[ms]:	5
Orbit Radius [V]: 	0.0150
Tracking_Treshold_[Hz]:	   2000
Delay_Orbits: 	  1
Number of Particles:	1
Long_Range:	1
Long Range_Treshold_[V]:	0.5780
Data:	
|X Pos [V]|	|Y Pos [V]|	|Z Pos [V]|	|Step #|	|Calc Time [ms]|	|Int 1 [Hz]|	|Int 2 [Hz]|	|Camera Frame|	|Tracking Active|	|Long Range X|	|Long Range Y|
-0.52965	0.00000	-0.00317	1.00000	1030.00000	33000.00000	28000.00000	1.00000	1.00000	0.00000	-10.00000
-0.53190	0.00032	-0.00586	2.00000	959.00000	28000.00000	24400.00000	1.00000	1.00000	0.00000	0.00000
-0.53387	0.00047	-0.00964	3.00000	946.00000	27800.00000	23000.00000	1.00000	1.00000	0.00000	0.00000
-0.53585	0.00047	-0.01611	4.00000	981.00000	30200.00000	21800.00000	1.00000	1.00000	0.00000	0.00000
-0.53833	0.00071	-0.01794	5.00000	956.00000	29000.00000	26400.00000	1.00000	1.00000	0.00000	0.00000
-0.54067	0.00134	-0.01807	6.00000	933.00000	27200.00000	27000.00000	1.00000	1.00000	0.00000	0.00000
-0.54319	0.00180	-0.01831	7.00000	918.00000	26000.00000	25600.00000	1.00000	1.00000	0.00000	0.00000
-0.54561	0.00189	-0.01807	8.00000	972.00000	24800.00000	25000.00000	1.00000	1.00000	0.00000	0.00000
-0.54829	0.00231	-0.02612	9.00000	962.00000	30600.00000	20400.00000	1.00000	1.00000	0.00000	0.00000
-0.55048	0.00253	-0.02856	10.00000	934.00000	26000.00000	23000.00000	1.00000	1.00000	0.00000	0.00000
-0.55302	0.00285	-0.03284	11.00000	950.00000	28400.00000	22800.00000	1.00000	1.00000	0.00000	0.00000
-0.55515	0.00297	-0.03918	12.00000	959.00000	29800.00000	21600.00000	1.00000	1.00000	0.00000	0.00000
-0.55756	0.00318	-0.04138	13.00000	920.00000	32600.00000	29200.00000	1.00000	1.00000	0.00000	0.00000
-0.55975	0.00331	-0.04150	14.00000	930.00000	26000.00000	25800.00000	1.00000	1.00000	0.00000	0.00000
-0.56207	0.00369	-0.04431	15.00000	947.00000	29400.00000	25400.00000	1.00000	1.00000	0.00000	0.00000
-0.56412	0.00356	-0.04675	16.00000	953.00000	29200.00000	25800.00000	1.00000	1.00000	0.00000	0.00000
-0.56269	0.00321	-0.04785	17.00000	925.00000	3400.00000	3200.00000	1.00000	1.00000	0.00000	0.00000
-0.56761	0.00469	-0.03821	18.00000	944.00000	6200.00000	10000.00000	1.00000	1.00000	0.00000	0.00000
-0.57042	0.00057	-0.02124	19.00000	3107.00000	4800.00000	11200.00000	1.00000	1.00000	0.00000	0.00000
-0.56931	-0.00542	-0.02332	20.00000	5875.00000	28400.00000	25600.00000	1.00000	1.00000	0.00000	0.00000
-0.56892	-0.00683	-0.01636	21.00000	5740.00000	46600.00000	65600.00000	1.00000	1.00000	0.00000	0.00000
-0.56855	-0.00556	-0.01501	22.00000	5749.00000	64200.00000	68600.00000	1.00000	1.00000	0.00000	0.00000
-0.56600	-0.00728	-0.01038	23.00000	5767.00000	12400.00000	15600.00000	1.00000	1.00000	0.00000	0.00000
-0.56426	-0.00492	-0.00110	24.00000	5745.00000	27000.00000	42800.00000	1.00000	1.00000	0.00000	0.00000
-0.56245	-0.00663	0.00623	25.00000	5733.00000	38000.00000	54800.00000	1.00000	1.00000	0.00000	0.00000
-0.56024	-0.00714	0.01587	26.00000	5725.00000	15200.00000	24600.00000	1.00000	1.00000	0.00000	0.00000
-0.55866	-0.00792	0.01685	27.00000	5756.00000	52600.00000	55000.00000	1.00000	1.00000	0.00000	0.00000
-0.55690	-0.00864	0.02234	28.00000	5744.00000	30600.00000	40200.00000	1.00000	1.00000	0.00000	0.00000
-0.55501	-0.00990	0.02100	29.00000	5746.00000	56200.00000	52400.00000	1.00000	1.00000	0.00000	0.00000
-0.55318	-0.01067	0.01880	30.00000	5728.00000	51200.00000	45600.00000	1.00000	1.00000	0.00000	0.00000
-0.55144	-0.01175	0.02100	31.00000	5767.00000	53000.00000	59000.00000	1.00000	1.00000	0.00000	0.00000
-0.54994	-0.01212	0.02063	32.00000	5779.00000	65000.00000	63600.00000	1.00000	1.00000	0.00000	0.00000
-0.54893	-0.01272	0.01941	33.00000	5768.00000	67200.00000	63200.00000	2.00000	1.00000	0.00000	0.00000
-0.54769	-0.01362	0.01282	34.00000	5736.00000	69200.00000	49600.00000	2.00000	1.00000	0.00000	0.00000
-0.54685	-0.01408	0.00903	35.00000	5763.00000	74400.00000	61400.00000	2.00000	1.00000	0.00000	0.00000
-0.54614	-0.01428	0.00586	36.00000	5738.00000	77400.00000	65800.00000	2.00000	1.00000	0.00000	0.00000
-0.54552	-0.01466	0.00146	37.00000	5747.00000	88000.00000	70600.00000	2.00000	1.00000	0.00000	0.00000
-0.54519	-0.01505	-0.00195	38.00000	5672.00000	78200.00000	65600.00000	2.00000	1.00000	0.00000	0.00000
-0.54462	-0.01520	-0.00146	39.00000	5739.00000	76600.00000	78200.00000	2.00000	1.00000	0.00000	0.00000
-0.54443	-0.01530	0.00024	40.00000	5700.00000	71200.00000	77200.00000	2.00000	1.00000	0.00000	0.00000
-0.54386	-0.01564	-0.00183	41.00000	5742.00000	76200.00000	68600.00000	2.00000	1.00000	0.00000	0.00000
-0.54415	-0.01560	-0.00085	42.00000	5750.00000	75000.00000	78400.00000	2.00000	1.00000	0.00000	0.00000
-0.54387	-0.01583	-0.00171	43.00000	5730.00000	80200.00000	76600.00000	2.00000	1.00000	0.00000	0.00000
-0.54400	-0.01589	-0.00330	44.00000	5757.00000	79600.00000	73400.00000	2.00000	1.00000	0.00000	0.00000
-0.54402	-0.01611	-0.00366	45.00000	5727.00000	76000.00000	74400.00000	2.00000	1.00000	0.00000	0.00000
-0.54418	-0.01635	-0.00085	46.00000	5770.00000	73800.00000	84600.00000	2.00000	1.00000	0.00000	0.00000
-0.54411	-0.01664	-0.00220	47.00000	5732.00000	76400.00000	71400.00000	2.00000	1.00000	0.00000	0.00000
-0.54431	-0.01695	-0.00427	48.00000	5726.00000	78600.00000	70800.00000	2.00000	1.00000	0.00000	0.00000
-0.54416	-0.01721	-0.00525	49.00000	5726.00000	76400.00000	72400.00000	2.00000	1.00000	0.00000	0.00000
-0.54399	-0.01745	-0.00562	50.00000	5739.00000	77000.00000	75400.00000	2.00000	1.00000	0.00000	0.00000
-0.54425	-0.01789	-0.00513	51.00000	5778.00000	76600.00000	78400.00000	2.00000	1.00000	0.00000	0.00000
-0.54415	-0.01825	-0.00586	52.00000	5739.00000	73400.00000	70400.00000	2.00000	1.00000	0.00000	0.00000
-0.54449	-0.01852	-0.00476	53.00000	5729.00000	74600.00000	78800.00000	2.00000	1.00000	0.00000	0.00000
-0.54436	-0.01858	-0.00598	54.00000	5755.00000	73800.00000	69200.00000	2.00000	1.00000	0.00000	0.00000
-0.54458	-0.01857	-0.00562	55.00000	5884.00000	81200.00000	82400.00000	2.00000	1.00000	0.00000	0.00000
-0.54445	-0.01891	-0.00659	56.00000	5975.00000	79600.00000	75600.00000	2.00000	1.00000	0.00000	0.00000
-0.54445	-0.01877	-0.00598	57.00000	6024.00000	72200.00000	74000.00000	2.00000	1.00000	0.00000	0.00000
-0.54442	-0.01862	-0.00781	58.00000	6125.00000	79800.00000	72800.00000	2.00000	1.00000	0.00000	0.00000
-0.54435	-0.01863	-0.00684	59.00000	5759.00000	74800.00000	78200.00000	2.00000	1.00000	0.00000	0.00000
-0.54441	-0.01859	-0.00757	60.00000	5839.00000	77000.00000	74200.00000	2.00000	1.00000	0.00000	0.00000
-0.54446	-0.01873	-0.01074	61.00000	5745.00000	89400.00000	76000.00000	2.00000	1.00000	0.00000	0.00000
-0.54471	-0.01888	-0.00757	62.00000	5756.00000	73000.00000	85200.00000	2.00000	1.00000	0.00000	0.00000
-0.54471	-0.01910	-0.00830	63.00000	5730.00000	79000.00000	76000.00000	2.00000	1.00000	0.00000	0.00000
-0.54469	-0.01947	-0.00830	64.00000	5747.00000	79800.00000	79600.00000	2.00000	1.00000	0.00000	0.00000
-0.54439	-0.01948	-0.00891	65.00000	5762.00000	78000.00000	75400.00000	2.00000	1.00000	0.00000	0.00000
-0.54427	-0.01956	-0.01233	66.00000	5750.00000	89000.00000	74800.00000	2.00000	1.00000	0.00000	0.00000
-0.54414	-0.01950	-0.01379	67.00000	5735.00000	80200.00000	74400.00000	2.00000	1.00000	0.00000	0.00000
-0.54409	-0.01979	-0.01331	68.00000	5811.00000	72600.00000	74000.00000	2.00000	1.00000	0.00000	0.00000
-0.54404	-0.02000	-0.01331	69.00000	5780.00000	76600.00000	76200.00000	2.00000	1.00000	0.00000	0.00000
-0.54414	-0.02020	-0.01221	70.00000	5751.00000	72200.00000	76200.00000	2.00000	1.00000	0.00000	0.00000
-0.54404	-0.02047	-0.01550	71.00000	5758.00000	78000.00000	66000.00000	2.00000	1.00000	0.00000	0.00000
-0.54421	-0.02087	-0.01599	72.00000	5732.00000	74400.00000	72400.00000	2.00000	1.00000	0.00000	0.00000
-0.54419	-0.02109	-0.01697	73.00000	5736.00000	78400.00000	74400.00000	2.00000	1.00000	0.00000	0.00000
-0.54437	-0.02150	-0.01709	74.00000	5773.00000	73200.00000	72600.00000	2.00000	1.00000	0.00000	0.00000
-0.54439	-0.02193	-0.01746	75.00000	5744.00000	77600.00000	75800.00000	2.00000	1.00000	0.00000	0.00000
-0.54436	-0.02215	-0.01526	76.00000	5758.00000	67400.00000	75000.00000	2.00000	1.00000	0.00000	0.00000
-0.54434	-0.02259	-0.01440	77.00000	5742.00000	75600.00000	78800.00000	2.00000	1.00000	0.00000	0.00000
-0.54439	-0.02281	-0.01306	78.00000	5749.00000	71200.00000	75800.00000	2.00000	1.00000	0.00000	0.00000
-0.54439	-0.02310	-0.01111	79.00000	5763.00000	71000.00000	78000.00000	2.00000	1.00000	0.00000	0.00000
-0.54430	-0.02330	-0.01025	80.00000	5755.00000	77000.00000	80200.00000	2.00000	1.00000	0.00000	0.00000
-0.54421	-0.02341	-0.01208	81.00000	5704.00000	80400.00000	73000.00000	2.00000	1.00000	0.00000	0.00000
-0.54424	-0.02385	-0.01099	82.00000	5744.00000	76400.00000	80600.00000	3.00000	1.00000	0.00000	0.00000
-0.54433	-0.02428	-0.01233	83.00000	5738.00000	86800.00000	80800.00000	3.00000	1.00000	0.00000	0.00000
-0.54443	-0.02448	-0.01270	84.00000	5675.00000	80400.00000	78600.00000	3.00000	1.00000	0.00000	0.00000
-0.54444	-0.02484	-0.00940	85.00000	5739.00000	68000.00000	80000.00000	3.00000	1.00000	0.00000	0.00000
-0.54455	-0.02504	-0.00842	86.00000	5727.00000	85800.00000	89800.00000	3.00000	1.00000	0.00000	0.00000
-0.54480	-0.02530	-0.01123	87.00000	5749.00000	81400.00000	70400.00000	3.00000	1.00000	0.00000	0.00000
-0.54501	-0.02551	-0.01233	88.00000	5734.00000	85200.00000	80200.00000	3.00000	1.00000	0.00000	0.00000
-0.54506	-0.02587	-0.01074	89.00000	5729.00000	78000.00000	84000.00000	3.00000	1.00000	0.00000	0.00000
-0.54518	-0.02605	-0.01172	90.00000	5729.00000	83000.00000	79000.00000	3.00000	1.00000	0.00000	0.00000
-0.54513	-0.02649	-0.01245	91.00000	5732.00000	77200.00000	74200.00000	3.00000	1.00000	0.00000	0.00000
-0.54536	-0.02678	-0.01331	92.00000	5765.00000	77400.00000	73800.00000	3.00000	1.00000	0.00000	0.00000
-0.54538	-0.02707	-0.01245	93.00000	5740.00000	78200.00000	81400.00000	3.00000	1.00000	0.00000	0.00000
-0.54544	-0.02728	-0.01074	94.00000	5745.00000	75600.00000	82000.00000	3.00000	1.00000	0.00000	0.00000
-0.54557	-0.02746	-0.01013	95.00000	5698.00000	77200.00000	79200.00000	3.00000	1.00000	0.00000	0.00000
