File Header:	
File Path:	Z:\Data\Zebrafish Misgeld Wehne 2013\05.02.14 mitoPAGFP + mitoTAGRFP + Heartcheck\Fish2\trajectory1.txt
Date:	5/2/2014
Time:	2:46 PM
Orbit_Time_[ms]:	5
Orbit Radius [V]: 	0.0150
Tracking_Treshold_[Hz]:	   5000
Delay_Orbits: 	  1
Number of Particles:	1
Long_Range:	1
Long Range_Treshold_[V]:	0.5882
Data:	
|X Pos [V]|	|Y Pos [V]|	|Z Pos [V]|	|Step #|	|Calc Time [ms]|	|Int 1 [Hz]|	|Int 2 [Hz]|	|Camera Frame|	|Tracking Active|	|Long Range X|	|Long Range Y|
0.56898	0.19642	0.00366	1.00000	967.00000	9000.00000	10800.00000	1.00000	1.00000	0.00000	0.00000
0.56863	0.19604	0.01184	2.00000	934.00000	8800.00000	13200.00000	1.00000	1.00000	0.00000	0.00000
0.56819	0.19606	0.01746	3.00000	946.00000	9400.00000	12400.00000	1.00000	1.00000	0.00000	0.00000
0.56766	0.19555	0.01843	4.00000	947.00000	8400.00000	8800.00000	1.00000	1.00000	0.00000	0.00000
0.56764	0.19585	0.02551	5.00000	926.00000	7200.00000	10200.00000	1.00000	1.00000	0.00000	0.00000
0.56735	0.19607	0.02869	6.00000	951.00000	10800.00000	12600.00000	1.00000	1.00000	0.00000	0.00000
0.56704	0.19566	0.03772	7.00000	927.00000	7800.00000	12200.00000	1.00000	1.00000	0.00000	0.00000
0.56653	0.19557	0.04700	8.00000	1064.00000	8600.00000	13600.00000	1.00000	1.00000	0.00000	0.00000
0.56589	0.19606	0.05615	9.00000	938.00000	6600.00000	10400.00000	1.00000	1.00000	0.00000	0.00000
0.56503	0.19675	0.06274	10.00000	1064.00000	7800.00000	10800.00000	1.00000	1.00000	0.00000	0.00000
0.56428	0.19629	0.06897	11.00000	943.00000	7800.00000	10600.00000	1.00000	1.00000	0.00000	0.00000
0.56372	0.19610	0.07397	12.00000	912.00000	9400.00000	12000.00000	1.00000	1.00000	0.00000	0.00000
0.56299	0.19603	0.07788	13.00000	963.00000	10200.00000	12400.00000	1.00000	1.00000	0.00000	0.00000
0.56212	0.19641	0.07483	14.00000	942.00000	7000.00000	6000.00000	1.00000	1.00000	0.00000	0.00000
0.56168	0.19680	0.07019	15.00000	947.00000	12400.00000	9800.00000	1.00000	1.00000	0.00000	0.00000
0.56152	0.19721	0.08606	16.00000	945.00000	5800.00000	12800.00000	1.00000	1.00000	0.00000	0.00000
0.56097	0.19700	0.08752	17.00000	929.00000	8200.00000	8800.00000	1.00000	1.00000	0.00000	0.00000
0.56126	0.19692	0.09595	18.00000	1114.00000	6200.00000	9400.00000	1.00000	1.00000	0.00000	0.00000
0.56092	0.19618	0.09595	19.00000	3490.00000	9200.00000	9200.00000	1.00000	1.00000	0.00000	0.00000
0.55988	0.19565	0.09448	20.00000	5765.00000	11200.00000	10400.00000	1.00000	1.00000	0.00000	0.00000
0.55871	0.19443	0.09229	21.00000	5766.00000	13000.00000	11600.00000	1.00000	1.00000	0.00000	0.00000
0.55762	0.19369	0.09290	22.00000	5756.00000	15000.00000	15400.00000	2.00000	1.00000	0.00000	0.00000
0.55597	0.19224	0.08447	23.00000	5729.00000	17400.00000	11400.00000	2.00000	1.00000	0.00000	0.00000
0.55402	0.19093	0.08252	24.00000	5707.00000	19200.00000	17400.00000	2.00000	1.00000	0.00000	0.00000
0.55187	0.18953	0.07800	25.00000	5752.00000	25600.00000	20400.00000	2.00000	1.00000	0.00000	0.00000
0.54978	0.18830	0.07483	26.00000	5739.00000	25600.00000	21800.00000	2.00000	1.00000	0.00000	0.00000
0.54747	0.18662	0.06677	27.00000	5758.00000	41200.00000	27400.00000	2.00000	1.00000	0.00000	0.00000
0.54450	0.18502	0.06177	28.00000	5745.00000	45400.00000	35200.00000	2.00000	1.00000	0.00000	0.00000
0.54162	0.18301	0.05518	29.00000	5721.00000	49600.00000	35600.00000	2.00000	1.00000	0.00000	0.00000
0.53901	0.18151	0.05334	30.00000	5749.00000	62800.00000	57200.00000	2.00000	1.00000	0.00000	0.00000
0.53641	0.17986	0.05054	31.00000	5737.00000	82000.00000	71000.00000	2.00000	1.00000	0.00000	0.00000
0.53418	0.17832	0.04724	32.00000	5728.00000	88000.00000	74400.00000	2.00000	1.00000	0.00000	0.00000
0.53204	0.17678	0.04553	33.00000	5757.00000	82800.00000	76000.00000	2.00000	1.00000	0.00000	0.00000
0.53042	0.17577	0.04333	34.00000	5750.00000	96400.00000	86000.00000	2.00000	1.00000	0.00000	0.00000
0.52896	0.17466	0.04358	35.00000	5765.00000	99000.00000	100000.00000	2.00000	1.00000	0.00000	0.00000
0.52756	0.17360	0.04431	36.00000	5755.00000	98000.00000	101600.00000	2.00000	1.00000	0.00000	0.00000
0.52634	0.17265	0.04602	37.00000	5762.00000	108000.00000	117000.00000	2.00000	1.00000	0.00000	0.00000
0.52516	0.17167	0.04492	38.00000	5718.00000	105000.00000	99000.00000	2.00000	1.00000	0.00000	0.00000
0.52420	0.17066	0.04443	39.00000	5761.00000	102800.00000	100000.00000	2.00000	1.00000	0.00000	0.00000
0.52340	0.16970	0.04272	40.00000	5742.00000	103400.00000	94400.00000	2.00000	1.00000	0.00000	0.00000
0.52247	0.16898	0.04333	41.00000	5750.00000	97800.00000	100400.00000	2.00000	1.00000	0.00000	0.00000
0.52162	0.16797	0.04248	42.00000	5751.00000	106600.00000	101600.00000	2.00000	1.00000	0.00000	0.00000
0.52081	0.16693	0.04114	43.00000	5759.00000	106600.00000	99200.00000	2.00000	1.00000	0.00000	0.00000
