File Header:	
File Path:	Z:\Data\Zebrafish Misgeld Wehne 2013\03.27.14 mitoPAGFP + mitoTAGRFP\Fish2\trajectory1.txt
Date:	3/27/2014
Time:	4:38 PM
Orbit_Time_[ms]:	5
Orbit Radius [V]: 	0.0150
Tracking_Treshold_[Hz]:	   5000
Delay_Orbits: 	  1
Number of Particles:	1
Long_Range:	1
Long Range_Treshold_[V]:	0.5882
Data:	
|X Pos [V]|	|Y Pos [V]|	|Z Pos [V]|	|Step #|	|Calc Time [ms]|	|Int 1 [Hz]|	|Int 2 [Hz]|	|Camera Frame|	|Tracking Active|	|Long Range X|	|Long Range Y|
-0.09693	0.16780	0.01245	1.00000	963.00000	5600.00000	10400.00000	2.00000	1.00000	0.00000	0.00000
-0.09649	0.16779	0.02063	2.00000	995.00000	8800.00000	13200.00000	2.00000	1.00000	0.00000	0.00000
-0.09561	0.16768	0.02698	3.00000	965.00000	6000.00000	8200.00000	2.00000	1.00000	0.00000	0.00000
-0.09595	0.16703	0.03516	4.00000	949.00000	7600.00000	11400.00000	2.00000	1.00000	0.00000	0.00000
-0.09583	0.16631	0.05127	5.00000	962.00000	4400.00000	9800.00000	2.00000	1.00000	0.00000	0.00000
-0.09603	0.16553	0.06812	6.00000	958.00000	5600.00000	13000.00000	2.00000	1.00000	0.00000	0.00000
-0.09584	0.16513	0.07959	7.00000	964.00000	6200.00000	11000.00000	2.00000	1.00000	0.00000	0.00000
-0.09590	0.16447	0.08960	8.00000	960.00000	6200.00000	10200.00000	2.00000	1.00000	0.00000	0.00000
-0.09644	0.16360	0.11060	9.00000	955.00000	3800.00000	10800.00000	2.00000	1.00000	0.00000	0.00000
-0.09660	0.16303	0.12451	10.00000	938.00000	5000.00000	10000.00000	2.00000	1.00000	0.00000	0.00000
-0.09721	0.16279	0.13745	11.00000	930.00000	6200.00000	11800.00000	2.00000	1.00000	0.00000	0.00000
-0.09698	0.16233	0.14111	12.00000	943.00000	7000.00000	8400.00000	2.00000	1.00000	0.00000	0.00000
-0.09606	0.16207	0.16272	13.00000	950.00000	3000.00000	8800.00000	2.00000	1.00000	0.00000	0.00000
-0.09581	0.16180	0.17834	14.00000	940.00000	3400.00000	7400.00000	2.00000	1.00000	0.00000	0.00000
-0.09608	0.16205	0.18677	15.00000	947.00000	4600.00000	7000.00000	2.00000	1.00000	0.00000	0.00000
-0.09599	0.16226	0.19666	16.00000	951.00000	4400.00000	7200.00000	2.00000	1.00000	0.00000	0.00000
-0.09575	0.16243	0.19666	17.00000	645.00000	3800.00000	4200.00000	2.00000	0.00000	0.00000	0.00000
-0.09556	0.16300	0.19666	18.00000	627.00000	4000.00000	5200.00000	2.00000	0.00000	0.00000	0.00000
-0.09597	0.16259	0.20300	19.00000	5046.00000	7600.00000	10400.00000	2.00000	1.00000	0.00000	0.00000
-0.09644	0.16159	0.20117	20.00000	5751.00000	8800.00000	8000.00000	2.00000	1.00000	0.00000	0.00000
-0.09747	0.16160	0.21631	21.00000	5769.00000	5000.00000	10600.00000	2.00000	1.00000	0.00000	0.00000
-0.09803	0.16178	0.20874	22.00000	5734.00000	7600.00000	5200.00000	2.00000	1.00000	0.00000	0.00000
